Vivado Simulator 2018.3
Time resolution is 1 ps
                   2 ns, k=          0, clkout=0
                   4 ns, k=          1, clkout=1
                   6 ns, k=          2, clkout=1
                   8 ns, k=          3, clkout=1
                  10 ns, k=          4, clkout=1
                  12 ns, k=          5, clkout=1
                  14 ns, k=          6, clkout=1
                  16 ns, k=          7, clkout=1
                  18 ns, k=          8, clkout=1
                  20 ns, k=          9, clkout=0
                  22 ns, k=         10, clkout=0
                  24 ns, k=         11, clkout=0
                  26 ns, k=         12, clkout=0
                  28 ns, k=         13, clkout=0
                  30 ns, k=         14, clkout=0
                  32 ns, k=         15, clkout=0
                  34 ns, k=         16, clkout=0
                  36 ns, k=         17, clkout=1
                  38 ns, k=         18, clkout=1
                  40 ns, k=         19, clkout=1
                  42 ns, k=         20, clkout=1
                  44 ns, k=         21, clkout=1
                  46 ns, k=         22, clkout=1
                  48 ns, k=         23, clkout=1
                  50 ns, k=         24, clkout=1
                  52 ns, k=         25, clkout=0
                  54 ns, k=         26, clkout=0
                  56 ns, k=         27, clkout=0
                  58 ns, k=         28, clkout=0
                  60 ns, k=         29, clkout=0
                  62 ns, k=         30, clkout=0
                  64 ns, k=         31, clkout=0
                  66 ns, k=         32, clkout=0
                  68 ns, k=         33, clkout=1
                  70 ns, k=         34, clkout=1
                  72 ns, k=         35, clkout=1
                  74 ns, k=         36, clkout=1
                  76 ns, k=         37, clkout=1
                  78 ns, k=         38, clkout=1
                  80 ns, k=         39, clkout=1
                  82 ns, k=         40, clkout=1
                  84 ns, k=         41, clkout=0
                  86 ns, k=         42, clkout=0
                  88 ns, k=         43, clkout=0
                  90 ns, k=         44, clkout=0
                  92 ns, k=         45, clkout=0
                  94 ns, k=         46, clkout=0
                  96 ns, k=         47, clkout=0
                  98 ns, k=         48, clkout=0
                 100 ns, k=         49, clkout=1
